代码,日股代码,公司名称,行业板块,现价 (¥),市值 (兆¥),滚动PE,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
6526.T,6526,Socionext,电气设备,2000.0,0.35,40.5,6.0,13.0,250.0,-5.1
6674.T,6674,GS Yuasa,电气设备,5476.0,0.55,13.1,11.98,7.5,179.0,-0.05
6701.T,6701,NEC,电气设备,4812.0,6.38,23.7,14.16,14.5,83.0,3.25
6702.T,6702,Fujitsu,电气设备,3979.0,6.88,22.8,16.2,3.9,138.0,8.86
6703.T,6703,Oki Electric Industry,电气设备,2759.0,0.24,11.1,16.4,1.2,236.0,-5.37
6723.T,6723,Renesas Electronics,电气设备,3309.0,6.05,17.8,13.95,28.5,85.0,-9.38
6724.T,6724,Seiko Epson,电气设备,3144.0,1.01,55.2,2.97,14.4,254.0,3.03
6752.T,6752,Panasonic Holdings,电气设备,4287.0,10.01,52.9,5.25,6.4,126.0,0.44
6758.T,6758,Sony Group,电气设备,3697.0,21.61,19.8,13.16,8.2,95.0,0.33
6762.T,6762,TDK,电气设备,2845.0,5.4,27.6,11.63,38.3,141.0,-5.9
6770.T,6770,Alps Alpine,电气设备,2218.0,0.43,16.4,6.24,-0.4,289.0,1.84
6841.T,6841,Yokogawa Electric,电气设备,4652.0,1.16,20.4,,8.6,198.0,-11.42
6857.T,6857,Advantest,电气设备,32050.0,23.14,62.1,56.89,39.3,19.0,-0.34
6861.T,6861,Keyence,电气设备,76580.0,18.57,41.7,,32.8,72.0,-2.73
6902.T,6902,Denso,运输设备,1915.0,4.8,11.8,9.2,9.1,386.0,-1.72
6920.T,6920,Lasertec,电气设备,39090.0,3.5,45.2,33.93,-26.3,108.0,1.53
6952.T,6952,Casio Computer,电气设备,2141.0,0.47,26.7,10.54,19.8,210.0,0.53
6954.T,6954,FANUC,电气设备,5852.0,5.44,32.8,10.05,17.7,183.0,-7.34
6971.T,6971,Kyocera,电气设备,3637.0,4.65,35.5,5.06,9.9,154.0,-0.35
6976.T,6976,Taiyo Yuden,电气设备,9375.0,1.17,87.0,5.33,10.7,96.0,-8.62
6981.T,6981,Murata Manufacturing,电气设备,7763.0,14.07,61.0,10.06,20.7,90.0,1.52
6988.T,6988,Nitto Denko,化学,3382.0,2.24,17.2,12.55,10.4,189.0,0.07
7011.T,7011,Mitsubishi Heavy Industries,机械,3879.0,13.03,55.6,14.75,,77.0,-0.51
7012.T,7012,Kawasaki Heavy Industries,运输设备,2404.5,2.1,18.6,14.44,11.3,166.0,-8.76
7013.T,7013,IHI,机械,2852.5,3.02,18.8,33.44,10.9,81.0,2.86
7201.T,7201,Nissan Motor,汽车及零部件,312.3,1.09,,-7.65,9.5,0.0,-3.79
7202.T,7202,Isuzu Motors,汽车及零部件,2210.5,1.52,11.5,11.6,6.8,425.0,-2.72
7203.T,7203,Toyota Motor,汽车及零部件,3025.0,35.82,8.6,12.4,10.4,331.0,0.57
7211.T,7211,Mitsubishi Motors,汽车及零部件,368.6,0.49,49.3,2.27,1.8,271.0,1.19
7261.T,7261,Mazda Motor,汽车及零部件,1157.0,0.73,20.8,5.88,16.9,475.0,-0.65
7267.T,7267,Honda Motor,汽车及零部件,1689.0,6.58,,-0.76,13.5,414.0,2.97
7269.T,7269,Suzuki Motor,汽车及零部件,2028.0,3.91,8.9,15.32,22.0,256.0,-1.39
7270.T,7270,Subaru,汽车及零部件,2632.5,1.83,21.0,3.12,3.0,441.0,1.07
7272.T,7272,Yamaha Motor,运输设备,1821.0,1.77,8.1,7.72,17.8,275.0,9.12
7731.T,7731,Nikon,精密仪器,1746.0,0.58,,-15.22,3.8,115.0,-11.89
7733.T,7733,Olympus,精密仪器,2005.0,2.13,32.8,10.57,16.4,150.0,2.67
7735.T,7735,SCREEN Holdings,精密仪器,12805.0,2.42,26.3,18.87,-10.3,192.0,-9.49
7741.T,7741,HOYA,精密仪器,22605.0,7.54,30.4,26.53,16.2,131.0,-8.41
7751.T,7751,Canon,电气设备,4503.0,3.76,11.4,10.37,3.6,355.0,-0.37
7752.T,7752,Ricoh,电气设备,1660.5,0.93,17.0,7.45,8.4,265.0,3.28
7762.T,7762,Citizen Watch,精密仪器,2345.0,0.57,18.4,10.87,30.3,226.0,-3.24
7911.T,7911,TOPPAN Holdings,其他制品,4659.0,1.31,20.5,5.61,15.0,62.0,-4.61
